2025-04-08T06:46:23.597Z [INFO]: 
🚀 Server listening on port 3000
2025-04-10T05:26:07.823Z [INFO]: GET /users/all - ::1
2025-04-10T05:26:08.571Z [INFO]: GET /projects/all - ::1
2025-04-10T05:26:09.358Z [INFO]: GET /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:26:09.363Z [INFO]: GET /users/all - ::1
2025-04-10T05:26:54.787Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T05:26:54.790Z [INFO]: POST /users/login - ::1
2025-04-10T05:26:55.032Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:26:55.037Z [INFO]: GET /projects/all - ::1
2025-04-10T05:26:58.287Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:26:58.301Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:26:58.308Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:26:58.309Z [INFO]: GET /users/all - ::1
2025-04-10T05:27:48.781Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:27:48.784Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:27:48.785Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:27:48.787Z [INFO]: GET /users/all - ::1
2025-04-10T05:27:58.048Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T05:27:58.052Z [INFO]: POST /users/login - ::1
2025-04-10T05:27:58.205Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:27:58.211Z [INFO]: GET /projects/all - ::1
2025-04-10T05:28:00.798Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:28:00.800Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:28:00.805Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:28:00.810Z [INFO]: GET /users/all - ::1
2025-04-10T05:28:32.436Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:28:32.439Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:28:32.449Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:28:32.450Z [INFO]: GET /users/all - ::1
2025-04-10T05:28:42.747Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:28:42.750Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:28:42.753Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:28:42.755Z [INFO]: GET /users/all - ::1
2025-04-10T05:28:46.782Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:28:46.784Z [INFO]: GET /users/all - ::1
2025-04-10T05:29:03.945Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:29:03.952Z [INFO]: GET /projects/all - ::1
2025-04-10T05:29:05.012Z [INFO]: OPTIONS /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:29:05.013Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:29:05.018Z [INFO]: GET /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:29:05.023Z [INFO]: GET /users/all - ::1
2025-04-10T05:30:02.784Z [INFO]: OPTIONS /projects/get-project/67f7528cc808c24a04a250f0 - ::1
2025-04-10T05:30:02.786Z [INFO]: OPTIONS /users/all - ::1
